grand_rank,rank_nb4,cid,smi_rdkit,iupac,mw,logp,n_aldehyde,category,elec_proxy,ani_energy,method_nb2,nb2_score,aff_HER2,aff_PDL1,mean_affinity,access_HER2,access_PDL1,mean_access,sasa_pass,pen_rate,time_5mm,pen_class,pen_ok,k_rel,k_vs_glut,kinetics_ok,hyd_risk,poly_risk,ox_risk,stability,stability_ok,nb5_score,grand_score_v2,all_ok
1,0,87944034,O=CCCC#CCCC=O,oct-4-ynedial,138.16599999999997,0.948,2,Dialdehyde (aliphatic),12.044015271982673,-461.11273193359375,ani2x_gasteiger,84.0534681678364,-4.148,-4.281,-4.214499999999999,99.3785419309242,99.35387325733689,99.36620759413054,True,0.32419271017249124,15.422925448692787,Good,True,1.8781302406583096,1.0190814311999477,True,21.71301188425517,80,50,46.48609643472345,True,47.18388541381133,47.210898494122766,True
2,2,91427,CCC(C=O)CC=O,2-ethylbutanedial,114.14399999999998,0.8005,2,Dialdehyde (aliphatic),12.159315893961333,-384.9876403808594,ani2x_gasteiger,83.56574321272373,-3.657,-3.763,-3.71,99.48659069643338,99.46621100043038,99.47640084843188,True,0.3537136690397743,14.135727390952939,Good,True,1.922344631416958,1.0430723470792234,True,26.282590412111016,65,50,51.115222876366694,True,50.33119797261021,45.31586676770537,True
3,3,85655730,O=CCCC(=O)CCC=O,4-oxoheptanedial,142.154,0.5137,3,Dialdehyde (aliphatic),12.437662163472451,-498.2905883789063,ani2x_gasteiger,82.38833046790596,-3.701,-3.615,-3.658,98.56135960879922,98.50425302030024,98.53280631454972,True,0.263112713075489,19.00326267611958,Good,True,2.490419953166652,1.3513124251023167,True,21.103873264206424,80,60,43.66883802073807,True,49.73785932475479,44.7183386078491,True
4,7,10953466,CC(=O)CCCC=O,5-oxohexanal,114.144,0.9446,2,Dialdehyde (aliphatic),12.442851820825863,-384.9964904785156,ani2x_gasteiger,82.36637806768204,-3.474,-3.49,-3.482,99.48659069643338,99.46621100043038,99.47640084843188,True,0.3633297693526941,13.761602879136401,Good,True,2.0355501479773364,1.1044981403168863,True,26.282590412111016,65,50,51.115222876366694,True,51.89206474637096,44.4282122591807,True
5,1,12484446,CCOC(CC=O)CC=O,3-ethoxypentanedial,144.17,0.5695000000000001,2,Dialdehyde (aliphatic),12.209060128734132,-499.4860534667969,ani2x_gasteiger,83.35532366549728,-3.863,-3.606,-3.7345,99.35153648641014,99.32579583624234,99.33866616132624,True,0.2777028469861014,18.004856825433418,Good,True,1.941740063920517,1.0535963909855397,True,20.808767427342723,80,50,46.75736977179718,True,45.82823908405988,43.910127181820144,True
6,9,21190979,CC(C)(C=O)CC=O,"2,2-dimethylbutanedial",114.14399999999998,0.8005,2,Dialdehyde (aliphatic),12.29864499103367,-384.991455078125,ani2x_gasteiger,82.97637711521844,-3.418,-3.448,-3.433,99.48659069643338,99.46621100043038,99.47640084843188,True,0.3537136690397743,14.135727390952939,Good,True,1.9771643574112567,1.0728177628202942,True,26.282590412111016,65,50,51.115222876366694,True,50.87939523255319,43.84850454828556,True
7,4,22174207,O=CCCC(C=O)CC=O,"butane-1,2,4-tricarbaldehyde",142.15399999999997,0.3695999999999999,3,Dialdehyde (aliphatic),12.090833424716564,-498.2797546386719,ani2x_gasteiger,83.85542603199413,-3.693,-3.492,-3.5925,98.56135960879922,98.50425302030024,98.53280631454972,True,0.2555505250797618,19.56560252983011,Good,True,2.3220668603099557,1.259963323159736,True,21.10387326420643,80,60,43.66883802073807,True,47.717107080882265,43.768750490059496,True
8,6,101171,CC(C=O)CCC=O,2-methylpentanedial,114.14399999999998,0.8005,2,Dialdehyde (aliphatic),12.090960225048272,-384.98779296875,ani2x_gasteiger,83.85488966293532,-3.383,-3.489,-3.436,99.48659069643338,99.46621100043038,99.47640084843188,True,0.3537136690397743,14.135727390952939,Good,True,1.8960081696669588,1.0287820712762392,True,26.282590412111016,65,50,51.115222876366694,True,50.067833355110224,43.6602545137723,True
9,5,80473,CC(CC=O)CC=O,3-methylpentanedial,114.144,0.8005,2,Dialdehyde (aliphatic),11.97695941943441,-384.986083984375,ani2x_gasteiger,84.33711635735091,-3.576,-3.485,-3.5305,99.48659069643338,99.46621100043038,99.47640084843188,True,0.3537136690397743,14.135727390952939,Good,True,1.8528855027105033,1.0053835293605626,True,26.282590412111016,80,50,45.115222876366694,True,47.83660668554566,43.4883155816736,True
10,8,70620,O=CCCCCC=O,hexanedial,114.144,0.9446,2,Dialdehyde (aliphatic),11.949040527901596,-384.9850769042969,ani2x_gasteiger,84.45521407344265,-3.373,-3.401,-3.387,99.48659069643338,99.46621100043038,99.47640084843188,True,0.3633297693526941,13.761602879136401,Good,True,1.8424750990087169,0.9997348001754838,True,26.282590412111016,80,50,45.115222876366694,True,48.16131425668476,42.77586397314823,True
