rank_nb3,rank_nb2,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_aldehyde,n_carbonyl,n_fluorine,n_alpha_h,qed,category,elec_proxy,ani_energy,method_nb2,nb2_score,aff_HER2,status_HER2,aff_PDL1,status_PDL1,mean_affinity,final_score_nb3
11,22,18008592,O=CCCC(C=O)C=O,KUAPETJWSCRJET-UHFFFAOYSA-N,"propane-1,1,3-tricarbaldehyde",128.12699999999998,-0.0204999999999999,51.21,3,3,0,1,0.3859066646149076,Dialdehyde (aliphatic),12.62847490750851,-458.9733581542969,ani2x_gasteiger,81.58118705945898,-3.487,ok,-3.461,ok,-3.474,31.9492374118918
12,23,13699910,CC(=O)C[C@H](C)C=O,IDAHIBMEKOEBRG-YFKPBYRVSA-N,(2S)-2-methyl-4-oxopentanal,114.14399999999998,0.8005,34.14,2,2,0,0,0.5084091858692685,Dialdehyde (aliphatic),12.638488990294867,-385.0024108886719,ani2x_gasteiger,81.53882720056441,-3.395,ok,-3.48,ok,-3.4375,31.776515440112885
13,8,20446369,O=CCC(C=O)CC=O,MGMZJMPWJVWBCE-UHFFFAOYSA-N,"propane-1,2,3-tricarbaldehyde",128.12699999999998,-0.0204999999999999,51.21,3,3,0,2,0.4887200061220095,Dialdehyde (aliphatic),12.128473917357812,-458.9683837890625,ani2x_gasteiger,83.69620566293776,-3.347,ok,-3.308,ok,-3.3274999999999997,31.71299113258755
14,21,5323605,CCC(=O)CCC=O,KKOFYQBBUSZDKJ-UHFFFAOYSA-N,4-oxohexanal,114.144,0.9446,34.14,2,2,0,1,0.5096332580707023,Dialdehyde (aliphatic),12.624784703292477,-385.0020446777344,ani2x_gasteiger,81.59679672968224,-3.401,ok,-3.373,ok,-3.387,31.560859345936446
15,11,13643743,O=CCCOCCC=O,LMGSCHASJBBXBN-UHFFFAOYSA-N,3-(3-oxopropoxy)propanal,130.14299999999997,0.181,43.370000000000005,2,2,0,2,0.3802768828111005,Dialdehyde (aliphatic),12.178697033286852,-460.16839599609375,ani2x_gasteiger,83.48376043461417,-3.247,ok,-3.32,ok,-3.2835,31.472502086922837
16,24,13699909,CC(=O)CC(C)C=O,IDAHIBMEKOEBRG-UHFFFAOYSA-N,2-methyl-4-oxopentanal,114.14399999999998,0.8005,34.14,2,2,0,0,0.5084091858692685,Dialdehyde (aliphatic),12.638488990294867,-385.00201416015625,ani2x_gasteiger,81.53882720056441,-3.296,ok,-3.379,ok,-3.3375,31.326515440112885
17,12,15575778,O=CCC(O)CC=O,UIVALZXFWDRKKE-UHFFFAOYSA-N,3-hydroxypentanedial,116.116,-0.4747,54.370000000000005,2,2,0,2,0.5047967384041225,Dialdehyde (aliphatic),12.208067428861538,-420.87603759765625,ani2x_gasteiger,83.3595228145781,-3.241,ok,-3.195,ok,-3.218,31.152904562915623
18,27,89298719,O=CCC(C=O)P=O,CUAUSIRCMSTUPU-UHFFFAOYSA-N,2-phosphorosobutanedial,132.055,0.4345999999999999,51.21,2,2,0,1,0.4114243606985592,Dialdehyde (aliphatic),12.774984189827912,,gasteiger,80.96144857135226,-3.472,ok,-3.169,ok,-3.3205,31.134539714270453
19,29,18538325,O=CCCC(=O)CC=O,PAXFMQWEAJBIJB-UHFFFAOYSA-N,3-oxohexanedial,128.12699999999998,0.1235999999999999,51.21,3,3,0,2,0.3901349937557007,Dialdehyde (aliphatic),12.88907157961212,-458.9841003417969,ani2x_gasteiger,80.47885562339988,-3.302,ok,-3.378,ok,-3.34,31.12577112467998
20,2,3485,O=CCCCC=O,SXRSQZLOMIGNAQ-UHFFFAOYSA-N,pentanedial,100.117,0.5545,34.14,2,2,0,2,0.381710195438469,Dialdehyde (aliphatic),11.950354805501648,-345.6828918457031,ani2x_gasteiger,84.44965464130351,-3.065,ok,-3.209,ok,-3.137,31.006430928260706
21,15,129809271,O=C[C@@H]1C[C@H]1C=O,GWFLUFSOUNEMFG-WHFBIAKZSA-N,"trans-(1R,2R)-cyclopropane-1,2-dicarbaldehyde",98.10099999999998,0.0202999999999999,34.14,2,2,0,0,0.4561175371101198,Dialdehyde (cyclic),12.330338675292955,-344.44287109375,ani2x_gasteiger,82.8423119170656,-3.067,ok,-3.232,ok,-3.1495,30.74121238341312
22,16,11434915,O=CC1CC1C=O,GWFLUFSOUNEMFG-UHFFFAOYSA-N,"cyclopropane-1,2-dicarbaldehyde",98.10099999999998,0.0202999999999999,34.14,2,2,0,0,0.4561175371101198,Dialdehyde (cyclic),12.330338675292955,-344.4493103027344,ani2x_gasteiger,82.8423119170656,-3.114,ok,-3.175,ok,-3.1445,30.71871238341312
23,9,10996971,CC(C=O)CC=O,BQPPGEDHWKAEDR-UHFFFAOYSA-N,2-methylbutanedial,100.117,0.4104,34.14,2,2,0,1,0.4812074437046236,Dialdehyde (aliphatic),12.14549011726832,-345.6810913085937,ani2x_gasteiger,83.62422664673542,-3.191,ok,-2.967,ok,-3.0789999999999997,30.580345329347086
24,19,164702,CC(=O)CCC=O,KEHNRUNQZGRQHU-UHFFFAOYSA-N,4-oxopentanal,100.117,0.5545,34.14,2,2,0,1,0.4852877970057935,Dialdehyde (aliphatic),12.48495166182839,-345.6943359375,ani2x_gasteiger,82.18829452649344,-3.16,ok,-3.054,ok,-3.107,30.419158905298687
25,28,22743515,O=CCCC(Cl)C=O,KHLSIPLPTLBNGM-UHFFFAOYSA-N,2-chloropentanedial,134.562,0.7718,34.14,2,2,0,1,0.4205773221706922,Dialdehyde (aliphatic),12.844841199863447,-805.2637939453125,ani2x_gasteiger,80.66595140490858,-3.122,ok,-3.179,ok,-3.1505,30.31044028098172
26,26,22352755,O=CCC(C=O)C=O,QGPGKCTWMYIIPB-UHFFFAOYSA-N,"ethane-1,1,2-tricarbaldehyde",114.09999999999998,-0.4106000000000001,51.21,3,3,0,1,0.3684598706946406,Dialdehyde (aliphatic),12.69375720847905,-419.6651611328125,ani2x_gasteiger,81.30504104425013,-3.112,ok,-3.098,ok,-3.105,30.233508208850026
27,4,12524,O=CCCC=O,PCSMJKASWLYICJ-UHFFFAOYSA-N,butanedial,86.08999999999999,0.1644,34.14,2,2,0,2,0.3620014734523953,Dialdehyde (aliphatic),11.991937563259206,-306.3764038085937,ani2x_gasteiger,84.27375837714874,-2.848,ok,-2.623,ok,-2.7355,29.16450167542975
28,30,98735,CC(C=O)C=O,VXYSFSCCSQAYJV-UHFFFAOYSA-N,2-methylpropanedial,86.08999999999999,0.0202999999999999,34.14,2,2,0,0,0.3504347409530757,Dialdehyde (aliphatic),12.936866684195472,-306.3772888183594,ani2x_gasteiger,80.27668095306865,-2.833,ok,-2.936,ok,-2.8845,29.035586190613728
29,20,9543142,O=CCC(=O)[O-],OAKURXIZZOAYBC-UHFFFAOYSA-M,3-oxopropanoate,87.05399999999999,-1.6747000000000003,57.2,2,2,0,1,0.2984999053245586,Dialdehyde (aliphatic),8.677538406164592,-341.6850891113281,ani2x_gasteiger,81.70623763346575,-2.727,ok,-2.641,ok,-2.684,28.419247526693148
30,25,10964,O=CCC=O,WSMYVTOQOOLQHP-UHFFFAOYSA-N,propanedial,72.063,-0.2257,34.14,2,2,0,2,0.3334174366235999,Dialdehyde (aliphatic),12.655773787125993,-267.0718688964844,ani2x_gasteiger,81.46571201164417,-2.42,ok,-2.584,ok,-2.502,27.552142402328833
