rank_nb2,rank_nb1,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_hbd,n_hba,n_rotb,n_rings,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,n_alpha_h,qed,category,ani_energy,elec_proxy,method,conformer_ok,nb2_score
15,36,129809271,O=C[C@@H]1C[C@H]1C=O,GWFLUFSOUNEMFG-WHFBIAKZSA-N,"trans-(1R,2R)-cyclopropane-1,2-dicarbaldehyde",98.10099999999998,0.0202999999999999,34.14,0,2,2,1,2,2,2,2,0,0,0.4561175371101198,Dialdehyde (cyclic),-344.44287109375,12.330338675292955,ani2x_gasteiger,True,82.8423119170656
16,35,11434915,O=CC1CC1C=O,GWFLUFSOUNEMFG-UHFFFAOYSA-N,"cyclopropane-1,2-dicarbaldehyde",98.10099999999998,0.0202999999999999,34.14,0,2,2,1,2,2,2,2,0,0,0.4561175371101198,Dialdehyde (cyclic),-344.4493103027344,12.330338675292955,ani2x_gasteiger,True,82.8423119170656
17,2,85655730,O=CCCC(=O)CCC=O,FXJPWEZCHRHMEX-UHFFFAOYSA-N,4-oxoheptanedial,142.154,0.5137,51.21,0,3,6,0,3,4,3,3,0,2,0.5076409277947531,Dialdehyde (aliphatic),-498.29058837890625,12.437662163472451,ani2x_gasteiger,True,82.38833046790596
18,70,10953466,CC(=O)CCCC=O,UCAQDIQSNVAWBD-UHFFFAOYSA-N,5-oxohexanal,114.144,0.9446,34.14,0,2,4,0,2,3,2,2,0,1,0.4024203395303487,Dialdehyde (aliphatic),-384.9964904785156,12.442851820825863,ani2x_gasteiger,True,82.36637806768204
19,27,164702,CC(=O)CCC=O,KEHNRUNQZGRQHU-UHFFFAOYSA-N,4-oxopentanal,100.117,0.5545,34.14,0,2,3,0,2,3,2,2,0,1,0.4852877970057935,Dialdehyde (aliphatic),-345.6943359375,12.48495166182839,ani2x_gasteiger,True,82.18829452649344
20,159,9543142,O=CCC(=O)[O-],OAKURXIZZOAYBC-UHFFFAOYSA-M,3-oxopropanoate,87.05399999999999,-1.6747000000000003,57.2,0,3,2,0,2,2,2,2,0,1,0.2984999053245586,Dialdehyde (aliphatic),-341.6850891113281,8.677538406164592,ani2x_gasteiger,True,81.70623763346575
21,13,5323605,CCC(=O)CCC=O,KKOFYQBBUSZDKJ-UHFFFAOYSA-N,4-oxohexanal,114.144,0.9446,34.14,0,2,4,0,2,3,2,2,0,1,0.5096332580707023,Dialdehyde (aliphatic),-385.0020446777344,12.624784703292475,ani2x_gasteiger,True,81.59679672968224
22,54,18008592,O=CCCC(C=O)C=O,KUAPETJWSCRJET-UHFFFAOYSA-N,"propane-1,1,3-tricarbaldehyde",128.12699999999998,-0.0204999999999999,51.21,0,3,5,0,3,3,3,3,0,1,0.3859066646149076,Dialdehyde (aliphatic),-458.9733581542969,12.62847490750851,ani2x_gasteiger,True,81.58118705945898
23,14,13699910,CC(=O)C[C@H](C)C=O,IDAHIBMEKOEBRG-YFKPBYRVSA-N,(2S)-2-methyl-4-oxopentanal,114.14399999999998,0.8005,34.14,0,2,3,0,2,3,2,2,0,0,0.5084091858692685,Dialdehyde (aliphatic),-385.0024108886719,12.638488990294869,ani2x_gasteiger,True,81.53882720056441
24,16,13699909,CC(=O)CC(C)C=O,IDAHIBMEKOEBRG-UHFFFAOYSA-N,2-methyl-4-oxopentanal,114.14399999999998,0.8005,34.14,0,2,3,0,2,3,2,2,0,0,0.5084091858692685,Dialdehyde (aliphatic),-385.00201416015625,12.638488990294869,ani2x_gasteiger,True,81.53882720056441
25,137,10964,O=CCC=O,WSMYVTOQOOLQHP-UHFFFAOYSA-N,propanedial,72.063,-0.2257,34.14,0,2,2,0,2,2,2,2,0,2,0.3334174366235999,Dialdehyde (aliphatic),-267.0718688964844,12.655773787125991,ani2x_gasteiger,True,81.46571201164417
26,69,22352755,O=CCC(C=O)C=O,QGPGKCTWMYIIPB-UHFFFAOYSA-N,"ethane-1,1,2-tricarbaldehyde",114.09999999999998,-0.4106000000000001,51.21,0,3,4,0,3,3,3,3,0,1,0.3684598706946406,Dialdehyde (aliphatic),-419.6651611328125,12.69375720847905,ani2x_gasteiger,True,81.30504104425013
27,61,89298719,O=CCC(C=O)P=O,CUAUSIRCMSTUPU-UHFFFAOYSA-N,2-phosphorosobutanedial,132.055,0.4345999999999999,51.21,0,3,4,0,2,2,2,2,0,1,0.4114243606985592,Dialdehyde (aliphatic),,12.774984189827912,gasteiger,True,80.96144857135226
28,57,22743515,O=CCCC(Cl)C=O,KHLSIPLPTLBNGM-UHFFFAOYSA-N,2-chloropentanedial,134.562,0.7718,34.14,0,2,4,0,2,2,2,2,0,1,0.4205773221706922,Dialdehyde (aliphatic),-805.2637939453125,12.844841199863449,ani2x_gasteiger,True,80.66595140490858
29,48,18538325,O=CCCC(=O)CC=O,PAXFMQWEAJBIJB-UHFFFAOYSA-N,3-oxohexanedial,128.12699999999998,0.1235999999999999,51.21,0,3,5,0,3,4,3,3,0,2,0.3901349937557007,Dialdehyde (aliphatic),-458.9841003417969,12.889071579612121,ani2x_gasteiger,True,80.47885562339988
30,127,98735,CC(C=O)C=O,VXYSFSCCSQAYJV-UHFFFAOYSA-N,2-methylpropanedial,86.08999999999999,0.0202999999999999,34.14,0,2,2,0,2,2,2,2,0,0,0.3504347409530757,Dialdehyde (aliphatic),-306.3772888183594,12.936866684195472,ani2x_gasteiger,True,80.27668095306865
