w_docking,w_nb5,w_nb2,rank_CID_87944034,rank_CID_91427,rank_CID_85655730,rank_CID_10953466,rank_CID_21190979,rank_CID_101171,rank_CID_22174207,rank_CID_12484446,rank_CID_80473,rank_CID_70620,rank_Glutaraldehyde,rank_Succinaldehyde,rank_Glyoxal,rank_Formalin_(formaldehy
0.25,0.25,0.5,1.0,2.0,5.0,3.0,6.0,4.0,8.0,10.0,7.0,9.0,11.0,12.0,14.0,13.0
0.25,0.3,0.45,1.0,2.0,6.0,3.0,5.0,4.0,8.0,10.0,7.0,9.0,11.0,13.0,14.0,12.0
0.25,0.35,0.4,1.0,2.0,5.0,3.0,4.0,6.0,8.0,10.0,7.0,9.0,12.0,13.0,14.0,11.0
0.25,0.4,0.35,2.0,1.0,5.0,3.0,4.0,6.0,9.0,11.0,8.0,10.0,12.0,13.0,14.0,7.0
0.25,0.45,0.3,4.0,2.0,6.0,3.0,5.0,7.0,9.0,11.0,8.0,10.0,12.0,14.0,13.0,1.0
0.25,0.5,0.25,5.0,3.0,6.0,2.0,4.0,7.0,10.0,12.0,9.0,11.0,13.0,14.0,8.0,1.0
0.25,0.55,0.2,7.0,4.0,6.0,3.0,5.0,8.0,9.0,12.0,10.0,11.0,13.0,14.0,2.0,1.0
0.25,0.6,0.15,8.0,4.0,6.0,3.0,5.0,7.0,9.0,13.0,10.0,11.0,12.0,14.0,2.0,1.0
0.25,0.65,0.1,8.0,4.0,6.0,3.0,5.0,7.0,9.0,13.0,10.0,11.0,12.0,14.0,1.0,2.0
0.25,0.7,0.05,8.0,4.0,6.0,3.0,5.0,7.0,9.0,13.0,10.0,11.0,12.0,14.0,1.0,2.0
0.3,0.1,0.6,1.0,2.0,6.0,9.0,10.0,7.0,4.0,5.0,3.0,8.0,11.0,12.0,14.0,13.0
0.3,0.15,0.55,1.0,2.0,5.0,8.0,9.0,6.0,4.0,7.0,3.0,10.0,11.0,12.0,14.0,13.0
0.3,0.2,0.5,1.0,2.0,3.0,4.0,8.0,5.0,7.0,9.0,6.0,10.0,11.0,12.0,14.0,13.0
0.3,0.25,0.45,1.0,2.0,4.0,3.0,6.0,5.0,8.0,9.0,7.0,10.0,11.0,12.0,14.0,13.0
0.3,0.3,0.4,1.0,2.0,4.0,3.0,5.0,6.0,7.0,10.0,8.0,9.0,11.0,13.0,14.0,12.0
0.3,0.35,0.35,1.0,2.0,4.0,3.0,5.0,6.0,7.0,11.0,8.0,10.0,12.0,13.0,14.0,9.0
0.3,0.4,0.3,1.0,2.0,5.0,3.0,6.0,7.0,8.0,11.0,9.0,10.0,12.0,13.0,14.0,4.0
0.3,0.45,0.25,3.0,2.0,6.0,4.0,5.0,7.0,8.0,11.0,9.0,10.0,12.0,14.0,13.0,1.0
0.3,0.5,0.2,4.0,3.0,6.0,2.0,5.0,7.0,9.0,12.0,10.0,11.0,13.0,14.0,8.0,1.0
0.3,0.55,0.15,5.0,4.0,7.0,3.0,6.0,8.0,9.0,12.0,10.0,11.0,13.0,14.0,2.0,1.0
0.3,0.6,0.1,7.0,4.0,6.0,3.0,5.0,8.0,9.0,12.0,10.0,11.0,13.0,14.0,2.0,1.0
